https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1624320000,2021-06-22 00:00:00,LTC/USDT,124.409,133.005,105,119.694,195556.63137075,23141729.79352442019
1624233600,2021-06-21 00:00:00,LTC/USDT,155.002,155.445,123.995,124.429,100214.87250637,13541546.53709003093
1624147200,2021-06-20 00:00:00,LTC/USDT,152.542,156.689,143.786,154.851,43801.04771774,6607297.84829621281
1624060800,2021-06-19 00:00:00,LTC/USDT,156.304,160.849,152.342,152.56,26575.02190462,4164885.70666144375
1623974400,2021-06-18 00:00:00,LTC/USDT,167.02,167.328,151.353,155.999,52606.72409014,8395617.63624758873
1623888000,2021-06-17 00:00:00,LTC/USDT,166.467,173.372,162.949,167.11,29389.46225654,4940041.2272917485
1623801600,2021-06-16 00:00:00,LTC/USDT,175.127,177.419,164.46,166.572,53274.90419781,9031078.66258437813
1623715200,2021-06-15 00:00:00,LTC/USDT,179.904,181.156,172.184,175.205,31505.03136217,5565723.67603434324
1623628800,2021-06-14 00:00:00,LTC/USDT,170.951,179.982,166.395,179.941,31030.98352748,5376493.89166406296
1623542400,2021-06-13 00:00:00,LTC/USDT,161.974,171.573,156.478,170.806,14652.73995858,2396797.78781052004
1623456000,2021-06-12 00:00:00,LTC/USDT,162.861,164.241,154.189,161.747,19397.63908792,3098781.54523381904
1623369600,2021-06-11 00:00:00,LTC/USDT,168.147,173.716,160.58,162.759,25009.01750775,4199049.49504906987
1623283200,2021-06-10 00:00:00,LTC/USDT,172.534,174.56,162.139,168.006,23922.47845726,4022452.83543210793
1623196800,2021-06-09 00:00:00,LTC/USDT,160.67,173.226,152.277,172.491,45345.21386273,7439195.59983754252
1623110400,2021-06-08 00:00:00,LTC/USDT,161.68,164.428,145,160.66,62376.7145112,9764525.57379960307
1623024000,2021-06-07 00:00:00,LTC/USDT,176.459,182.198,160.123,161.99,41314.89721503,7191922.82130428668
1622937600,2021-06-06 00:00:00,LTC/USDT,172.783,179.954,172.115,176.474,26448.32351444,4650730.75120449894
1622851200,2021-06-05 00:00:00,LTC/USDT,178.524,185.471,167.379,172.958,37665.91750328,6586049.12641539287
1622764800,2021-06-04 00:00:00,LTC/USDT,193.493,193.676,169.08,178.438,61207.12832163,10903593.76254201408
1622678400,2021-06-03 00:00:00,LTC/USDT,187.116,197.716,182,193.473,42024.62312729,7999121.31310039125
1622592000,2021-06-02 00:00:00,LTC/USDT,183.035,193.992,178.331,187.303,47192.59269673,8778147.84435493509
1622505600,2021-06-01 00:00:00,LTC/USDT,187.999,193.11,175.979,183.006,35475.00203553,6464486.87122516375
1622419200,2021-05-31 00:00:00,LTC/USDT,170.443,188.396,163.549,188.142,59490.77375568,10554287.73169108832
1622332800,2021-05-30 00:00:00,LTC/USDT,163.93,180.95,155.198,170.567,59548.91651826,10124056.5246098579
1622246400,2021-05-29 00:00:00,LTC/USDT,177.364,188.554,157.482,163.93,77486.44100373,13244240.10602565602
1622160000,2021-05-28 00:00:00,LTC/USDT,194.346,198.811,165.462,177.324,91117.6655736,16339615.18360193176
1622073600,2021-05-27 00:00:00,LTC/USDT,198.661,208.726,180.36,194.274,75480.18440835,14697372.98315333056
1621987200,2021-05-26 00:00:00,LTC/USDT,183.913,204.128,179.534,198.786,77744.94440752,15074600.36532046733
1621900800,2021-05-25 00:00:00,LTC/USDT,185.288,194.491,166.954,183.76,82277.74583423,14673943.72349336552
1621814400,2021-05-24 00:00:00,LTC/USDT,142.44,185.334,139.619,185.012,111837.74272198,18395885.41461903463
1621728000,2021-05-23 00:00:00,LTC/USDT,169.358,176.2,118.001,142.44,151225.84029515,21451191.40590392065
1621641600,2021-05-22 00:00:00,LTC/USDT,179.933,184.457,161.65,169.488,54771.20600508,9581015.18663811212
1621555200,2021-05-21 00:00:00,LTC/USDT,210.68,218.963,155.586,179.933,110484.84314331,20622843.05507530775
