https://www.CryptoDataDownload.com,,,,,,,,
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1620086400,2021-05-04 00:00:00,BTC/USDT,57159.7,57188.2,53083.3,53196.3,7079.55804728,390469293.396019
1620000000,2021-05-03 00:00:00,BTC/USDT,56568.5,58977.9,56451.3,57159.7,4780.43387226,276554749.540429
1619913600,2021-05-02 00:00:00,BTC/USDT,57794.7,57903.7,56044.3,56568.5,3508.52428767,199206958.057418
1619827200,2021-05-01 00:00:00,BTC/USDT,57697.3,58471.4,57006.3,57794.7,3639.78966647,210179438.189008
1619740800,2021-04-30 00:00:00,BTC/USDT,53558.5,57936.4,53042.6,57697.3,5000.47557303,277531927.921795
1619654400,2021-04-29 00:00:00,BTC/USDT,54833.1,55181.2,52340.1,53558.4,4356.05177188,234153663.397444
1619568000,2021-04-28 00:00:00,BTC/USDT,55014.2,56399.1,53808.3,54833.2,4801.04618634,262912695.604761
1619481600,2021-04-27 00:00:00,BTC/USDT,53997.1,55439,53240.8,55014.3,4344.22291318,237020455.905144
1619395200,2021-04-26 00:00:00,BTC/USDT,49069,54336.4,48775.8,54000.2,6695.12934907,353727728.269534
1619308800,2021-04-25 00:00:00,BTC/USDT,50041.5,50554.6,46966.2,49086.9,4805.34664069,237153315.222671
1619222400,2021-04-24 00:00:00,BTC/USDT,51109.8,51157.9,48676.5,50033,4833.41744745,241336360.887796
1619136000,2021-04-23 00:00:00,BTC/USDT,51691.2,52112.1,47502.1,51102.7,8885.07060366,441295812.644904
1619049600,2021-04-22 00:00:00,BTC/USDT,53793.5,55474.7,50400,51696.4,8879.16016304,475394174.249707
1618963200,2021-04-21 00:00:00,BTC/USDT,56426.1,56761.7,53602,53793.6,6240.82191836,345339357.806167
1618876800,2021-04-20 00:00:00,BTC/USDT,55618.7,57061.6,53328,56427.8,8677.75606016,480164200.559837
1618790400,2021-04-19 00:00:00,BTC/USDT,56152.7,57583.4,54205.2,55618.8,7721.306905,432634348.931872
1618704000,2021-04-18 00:00:00,BTC/USDT,59995.3,60409.5,49001,56150.6,11485.97101449,637797282.448645
1618617600,2021-04-17 00:00:00,BTC/USDT,61342.7,62497.8,59599.6,59995.2,5367.42979289,328364887.709585
1618531200,2021-04-16 00:00:00,BTC/USDT,63152.6,63509.7,59930.8,61342.6,8295.32523869,510423835.691643
1618444800,2021-04-15 00:00:00,BTC/USDT,62954.4,63772.1,62023.9,63152.6,4709.82427144,296178401.811155
1618358400,2021-04-14 00:00:00,BTC/USDT,63578.7,64840,61000,62958.7,7696.509177,487298143.928065
1618272000,2021-04-13 00:00:00,BTC/USDT,59863.4,63759.7,59815,63578.7,6906.310253,430518557.569548
1618185600,2021-04-12 00:00:00,BTC/USDT,60007.6,61270.7,59417.4,59863.4,4611.409014,277430208.74338
1618099200,2021-04-11 00:00:00,BTC/USDT,59770.2,60687.4,59247.6,60007.6,3896.37426019,233158562.799039
1618012800,2021-04-10 00:00:00,BTC/USDT,58138.2,61350,57902.1,59770.2,5533.50675561,332014577.538991
1617926400,2021-04-09 00:00:00,BTC/USDT,58076.7,58900,57666.9,58131.6,3516.19104669,204849717.059779
1617840000,2021-04-08 00:00:00,BTC/USDT,55958.2,58141,55700.6,58076.7,3175.60482079,181817013.517575
1617753600,2021-04-07 00:00:00,BTC/USDT,57988.3,58668.6,55439,55958.2,5277.04906389,299996660.41194
1617667200,2021-04-06 00:00:00,BTC/USDT,59116.2,59497.5,57304.8,57988.3,2964.86183859,173169186.845683
1617580800,2021-04-05 00:00:00,BTC/USDT,58201.4,59254.1,56501,59116.2,3003.76043377,174821106.684799
1617494400,2021-04-04 00:00:00,BTC/USDT,57052.5,58481.2,56432.6,58201.4,2069.14670128,119228330.172726
1617408000,2021-04-03 00:00:00,BTC/USDT,58963.6,59795,56721.2,57058.3,2512.19109578,147434403.065157
1617321600,2021-04-02 00:00:00,BTC/USDT,58735.7,60179.1,58460.7,58963.6,2553.76427314,151446539.609795
1617235200,2021-04-01 00:00:00,BTC/USDT,58745.5,59487.1,57879,58735.7,3163.98213108,186078130.901422
1617148800,2021-03-31 00:00:00,BTC/USDT,58753.2,59800,56357.5,58745.9,4921.45848213,288469053.074871
1617062400,2021-03-30 00:00:00,BTC/USDT,57630.8,59351.9,57072.8,58754.6,3563.87315049,208118726.050536
